id;date_debut;date_fin;statut_abonnement;prix;delete_at;created_by;created_date;last_modified_by;last_modified_date;structure_id;plans_abonnement_id;paiement_id
45d55261-cc39-43c9-ae9b-6f5e31ac9986;2024-03-30T03:36:17;2024-03-29T22:54:10;EXPIRE;6521.46;2024-03-30T01:41:38;à bas de actionnaire égoïste;2024-03-29T22:36:24;atchoum au-dedans de porte-parole;2024-03-29T22:58:03;c5342440-ae0a-4c3f-aade-fb9e9f40967a;ce1b7f7a-73ec-4d2a-a190-3a3e1a4139cf;42976d77-0b97-4065-a3aa-10f29e508417
9c72fef4-1fe6-4b6c-870a-588f3e1eb4e7;2024-03-29T18:08:17;2024-03-29T16:50:57;ACTIF;18925.28;2024-03-30T01:19:52;boum gestionnaire pin-pon;2024-03-30T01:03:08;siffler;2024-03-30T02:40:35;f215d7ad-b1e4-44ef-9d3e-5aacce475a09;b564486b-4d7c-46c1-a10b-a27571e895dd;7e8141be-bf57-4125-892e-73dcf6da5000
7af9e5d7-8a5c-4720-940c-0f3decea79ee;2024-03-29T18:01:59;2024-03-30T05:31:11;ACTIF;3504.47;2024-03-30T00:24:15;bien que abuser;2024-03-30T13:03:02;alors que;2024-03-29T23:58:51;71f47175-2eed-4bd0-ac30-97ab3235266c;984c018a-59d9-469e-a3cd-dab27a2b266f;578ee56c-cc00-497e-947e-85cfce029154
e91efff5-1c8e-401f-9467-0b14137cfb41;2024-03-30T15:11:03;2024-03-30T02:41:28;ACTIF;22938.7;2024-03-30T08:50:46;puisque;2024-03-30T08:51:37;de manière à avant que rapporter;2024-03-30T03:08:38;6dbf2976-6642-40d7-8a92-941032b49a2d;914f269f-13a1-4aab-948b-6a639b228064;fd4d3b71-e595-42e9-827a-c22f507847d8
5265c119-5a7f-4f18-8311-8f47b988411d;2024-03-30T04:05:27;2024-03-30T11:29:50;ANNULE;21191.27;2024-03-30T09:38:47;sitôt que dynamique police;2024-03-29T23:54:06;paf clientèle;2024-03-30T09:11:58;facf5540-3d9f-481e-88d1-bc82b47c6688;6d05006d-4cec-4140-9209-9010a8904108;30a82ff8-3071-4679-9da6-5d9ea8e11a11
ec3b19ed-6532-4069-86bb-1a33fc6708f7;2024-03-30T01:15:11;2024-03-29T18:58:11;EXPIRE;8026.79;2024-03-30T10:53:49;entre-temps;2024-03-29T22:59:44;dehors;2024-03-29T19:11:34;020009ec-967d-4cbf-a4e9-884410375528;b764c99a-9c6b-4ea0-9287-76543a2fce4e;d3bf3054-650b-4935-9b6d-50f7fb542b77
43108925-a23e-4f0f-8138-a15d5ce1464b;2024-03-30T08:39:04;2024-03-30T04:56:32;ACTIF;28388.51;2024-03-30T11:54:45;dring électorat;2024-03-29T19:18:13;antique neutre;2024-03-29T17:53:35;ed7f737e-3d85-4062-af81-b1e84dd298b9;eca9b0da-7865-487d-bfd1-b75cca933a1f;2fcbc331-ee1a-42c9-97f3-dceac66e0725
49dd3cea-adf2-4b54-bf81-89da9f78ebf8;2024-03-30T10:36:07;2024-03-30T02:17:54;EXPIRE;29927.93;2024-03-29T17:10:31;population du Québec;2024-03-30T08:10:17;membre du personnel vide grrr;2024-03-29T23:24:49;af860256-598a-4a25-b219-1052aa099e95;3df87fe8-d94b-4cff-ad2c-e7423c1fd575;dd5e05ec-25ca-49d1-b63d-f701eae0a221
d2a34893-e08b-4411-af89-3183f7716eee;2024-03-29T22:21:49;2024-03-30T05:30:12;ANNULE;16753.95;2024-03-30T00:01:23;suffisamment;2024-03-29T20:42:29;dans;2024-03-30T07:19:55;c9af1151-dd70-417c-a779-8cb50725b60c;f08c58a6-504c-43f2-b1d0-e74c8e688892;0ac33988-2ebe-43f1-850f-0bd84d499804
19f2837a-8a82-4289-92bd-ba3e3e99e434;2024-03-29T22:19:36;2024-03-30T15:52:13;ACTIF;27095.12;2024-03-29T20:53:37;conseil d’administration blesser;2024-03-29T19:17:46;areu areu large ah;2024-03-30T13:03:04;0a685e5e-e2f0-4e6c-ad9b-b7e3456cc1fd;d02244f0-7e13-42b1-a2c7-86af021f2f15;dab0e3a6-20dd-4ba6-8a63-c71dffc00432
