id;libelle;description;slug;prix_unitaire;date_expiration;delete_at;created_by;created_date;last_modified_by;last_modified_date;categorie_id
9a60e7c0-e04f-46ef-981d-0049a25e92ac;électorat tellement;../fake-data/blob/hipster.txt;avant que au point que;16671.53;2024-03-29;2024-03-30T06:16:15;clientèle;2024-03-30T03:10:10;bof naguère tailler;2024-03-30T10:07:09;0b08b775-92f6-4b7f-839a-d57ce299b24b
d6432a26-edab-466a-94e2-3924ab5417cd;présidence;../fake-data/blob/hipster.txt;miam;26500.81;2024-03-30;2024-03-30T14:42:03;de façon à ce que grandement;2024-03-30T02:11:10;jusque;2024-03-29T17:46:28;c068b83f-52cc-4a56-83d9-2c114f37c454
ac480bc4-dbcc-4ec7-a341-4571b4e237c8;livrer;../fake-data/blob/hipster.txt;illustrer euh;12679.07;2024-03-29;2024-03-30T06:43:22;de manière à accuser subito;2024-03-29T23:23:14;approximativement;2024-03-30T09:04:43;9140b4da-5c6f-4f0d-ad2f-642ad66dcf3e
30ff0740-38f5-43a8-b5a5-509359e9ccc7;nonobstant lectorat regagner;../fake-data/blob/hipster.txt;de peur que;28706.48;2024-03-30;2024-03-30T00:35:21;administration au moyen de avex;2024-03-30T00:37:56;en faveur de malade exiger;2024-03-30T00:50:29;a649fe55-6238-4379-be34-8afec595aa7e
c9f80a89-79ca-4ad4-b103-4c24c56e63b0;aborder;../fake-data/blob/hipster.txt;alors;3547.07;2024-03-30;2024-03-30T08:55:15;à l'insu de au moyen de;2024-03-29T19:54:55;vroum aligner;2024-03-30T02:57:52;ea5e0bd7-e78b-4fe4-9432-e098217cdfa1
871919ad-f77d-43d8-a668-48ca07499a81;diplomate;../fake-data/blob/hipster.txt;insuffisamment voter rafraîchir;10956.94;2024-03-30;2024-03-29T17:38:03;plus guide vu que;2024-03-29T20:54:58;habile jeune enfant;2024-03-29T17:28:18;5132ebc6-7235-4fe3-866a-d7123b90cc66
4dd704a8-9d0b-4e13-9a74-0c113fb20866;camarade presque au-devant;../fake-data/blob/hipster.txt;dans;8434.78;2024-03-29;2024-03-29T19:37:22;dans la mesure où identifier dormir;2024-03-30T10:30:11;défiler rédaction broum;2024-03-30T00:13:53;f6a8e745-c459-4794-badf-e0b92a35830e
58b2e2b0-91f7-45e9-92bc-82908591283a;miaou cocorico;../fake-data/blob/hipster.txt;vaste trop mairie;17640.25;2024-03-30;2024-03-30T04:51:30;à défaut de  diététiste;2024-03-30T10:25:44;administration loin de d'avec;2024-03-30T06:13:11;48455be9-9fde-427a-a17b-4e3b903b46e6
db1cdc7a-6e45-4e93-bd7c-2a5ea0906c54;rapide corps enseignant de manière à ce que;../fake-data/blob/hipster.txt;en outre de;26581.21;2024-03-30;2024-03-30T04:46:52;infiniment hi;2024-03-30T02:00:56;effacer auprès de;2024-03-29T17:07:18;864ae5be-7d1c-423f-8bc4-daad640a0957
d2426e77-21b2-4864-8f79-e8efba4c611f;coupable;../fake-data/blob/hipster.txt;ensuite fréquenter spécialiste;30672.5;2024-03-30;2024-03-30T11:33:06;prout;2024-03-29T21:21:45;vorace quoique faciliter;2024-03-29T17:29:15;1650b122-5752-4038-bbae-139efdecbe6b
